Origin,Destination,TTT,LOS,Departure Time,Departure Date,Arrival Time,Return Departure Time,Return Date,Return Arrival Time,Onward Departure Airport,Onward Arrival Airport,Return Departure Airport,Return Arrival Airport,Onward Airlines,Return Airlines,Onward Flight Connections,Onward Connection Duration(min),Onward Flight Connection Airport,Return Flight Connections,Return Connection Duration(min),Return Flight Connection Airport,Carry-ons,Checked Bags,Price(NIS),Snapshot Time,Site,Total Onward Flight Duration(min),Total Return Flight Duration(min)
Paris,Rome,3,4,6:10,3/3/2025,8:10,6:40,7/3/2025,8:55,CDG,FCO,FCO,ORY,ITA Airways,Vueling,nonstop,,,nonstop,,,0,0,1077,28/02/2025,Momondo,120,135
Paris,Rome,3,4,11:45,3/3/2025,13:50,6:55,7/3/2025,9:10,CDG,FCO,FCO,ORY,ITA Airways,Wizz Air,nonstop,,,nonstop,,,0,0,1080,28/02/2025,Momondo,125,135
Paris,Rome,3,4,14:05,3/3/2025,16:10,6:55,7/3/2025,9:10,CDG,FCO,FCO,ORY,ITA Airways,Wizz Air,nonstop,,,nonstop,,,0,0,1080,28/02/2025,Momondo,125,135
Paris,Rome,3,4,18:10,3/3/2025,20:15,6:55,7/3/2025,9:10,CDG,FCO,FCO,ORY,ITA Airways,Wizz Air,nonstop,,,nonstop,,,0,0,1080,28/02/2025,Momondo,125,135
Paris,Rome,3,4,6:10,3/3/2025,8:10,6:55,7/3/2025,9:10,CDG,FCO,FCO,ORY,ITA Airways,Wizz Air,nonstop,,,nonstop,,,0,0,1084,28/02/2025,Momondo,120,135
Paris,Rome,3,4,14:05,3/3/2025,16:10,6:55,7/3/2025,9:10,CDG,FCO,FCO,ORY,ITA Airways,Wizz Air,nonstop,,,nonstop,,,0,0,1080,28/02/2025,Momondo,125,135
Paris,Rome,3,4,18:10,3/3/2025,20:15,6:55,7/3/2025,9:10,CDG,FCO,FCO,ORY,ITA Airways,Wizz Air,nonstop,,,nonstop,,,0,0,1080,28/02/2025,Momondo,125,135
Paris,Rome,3,4,6:10,3/3/2025,8:10,6:55,7/3/2025,9:10,CDG,FCO,FCO,ORY,ITA Airways,Wizz Air,nonstop,,,nonstop,,,0,0,1084,28/02/2025,Momondo,120,135
Paris,Rome,3,4,6:00,3/3/2025,8:10,15:10,7/3/2025,17:20,BVA,FCO,FCO,CDG,Ryanair,ITA Airways,nonstop,,,nonstop,,,0,0,766,28/02/2025,Momondo,130,130
Paris,Rome,3,4,9:40,3/3/2025,11:35,19:35,7/3/2025,21:45,ORY,FCO,FCO,ORY,Vueling,Vueling,nonstop,,,nonstop,,,0,0,1092,28/02/2025,Momondo,115,130
Paris,Rome,3,4,6:10,3/3/2025,8:10,18:00,7/3/2025,21:45,CDG,FCO,FCO,ORY,ITA Airways,ITA Airways,nonstop,,,1 stop,65,LIN,1,0,962,28/02/2025,Momondo,120,225
Paris,Rome,3,4,17:35,3/3/2025,19:40,16:00,7/3/2025,18:10,ORY,FCO,FCO,ORY,Transavia France,Vueling,nonstop,,,nonstop,,,0,0,1095,28/02/2025,Momondo,125,130
Paris,Rome,3,4,13:45,3/3/2025,15:50,12:50,7/3/2025,15:00,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,1125,28/02/2025,Momondo,125,130
Paris,Rome,3,4,11:45,3/3/2025,13:50,18:00,7/3/2025,21:45,CDG,FCO,FCO,ORY,ITA Airways,ITA Airways,nonstop,,,1 stop,65,LIN,1,0,962,28/02/2025,Momondo,125,225
Paris,Rome,3,4,10:45,3/3/2025,14:10,21:30,7/3/2025,23:40,ORY,FCO,FCO,CDG,ITA Airways,ITA Airways,1 stop,50,LIN,nonstop,,,1,0,788,28/02/2025,Momondo,205,130
Paris,Rome,3,5,17:40,3/3/2025,19:40,19:25,8/3/2025,21:35,ORY,FCO,FCO,ORY,easyJet,easyJet,nonstop,,,nonstop,,,0,0,662,28/02/2025,Momondo,120,130
Paris,Rome,3,5,17:40,3/3/2025,19:40,10:05,8/3/2025,12:15,ORY,FCO,FCO,ORY,easyJet,easyJet,nonstop,,,nonstop,,,0,0,666,28/02/2025,Momondo,120,130
Paris,Rome,3,5,7:20,3/3/2025,9:20,19:25,8/3/2025,21:35,ORY,FCO,FCO,ORY,easyJet,easyJet,nonstop,,,nonstop,,,0,0,696,28/02/2025,Momondo,120,130
Paris,Rome,3,5,7:20,3/3/2025,9:20,10:05,8/3/2025,12:15,ORY,FCO,FCO,ORY,easyJet,easyJet,nonstop,,,nonstop,,,0,0,699,28/02/2025,Momondo,120,130
Paris,Rome,3,5,6:55,3/3/2025,9:00,12:50,8/3/2025,15:00,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,736,28/02/2025,Momondo,125,130
Paris,Rome,3,5,6:55,3/3/2025,9:00,18:45,8/3/2025,21:00,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,736,28/02/2025,Momondo,125,135
Paris,Rome,3,5,20:40,3/3/2025,22:45,12:50,8/3/2025,15:00,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,736,28/02/2025,Momondo,125,130
Paris,Rome,3,5,20:40,3/3/2025,22:45,18:45,8/3/2025,21:00,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,736,28/02/2025,Momondo,125,135
Paris,Rome,3,5,13:05,3/3/2025,15:00,19:25,8/3/2025,21:35,ORY,FCO,FCO,ORY,easyJet,easyJet,nonstop,,,nonstop,,,0,0,736,28/02/2025,Momondo,115,130
Paris,Rome,3,5,13:05,3/3/2025,15:00,10:05,8/3/2025,12:15,ORY,FCO,FCO,ORY,easyJet,easyJet,nonstop,,,nonstop,,,0,0,740,28/02/2025,Momondo,115,130
Paris,Rome,3,5,6:55,3/3/2025,9:00,6:00,8/3/2025,8:15,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,799,28/02/2025,Momondo,125,135
Paris,Rome,3,5,20:40,3/3/2025,22:45,6:00,8/3/2025,8:15,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,799,28/02/2025,Momondo,125,135
Paris,Rome,3,5,15:20,3/3/2025,17:25,12:50,8/3/2025,15:00,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,829,28/02/2025,Momondo,125,130
Paris,Rome,3,5,15:20,3/3/2025,17:25,18:45,8/3/2025,21:00,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,829,28/02/2025,Momondo,125,135
Paris,Rome,3,5,6:55,3/3/2025,9:00,10:05,8/3/2025,12:20,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,829,28/02/2025,Momondo,125,135
Paris,Rome,3,5,6:55,3/3/2025,9:00,10:05,8/3/2025,12:20,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,829,28/02/2025,Momondo,125,135
Paris,Rome,3,5,20:40,3/3/2025,22:45,10:05,8/3/2025,12:20,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,829,28/02/2025,Momondo,125,135
Paris,Rome,3,5,6:00,3/3/2025,8:05,10:30,8/3/2025,12:45,ORY,FCO,FCO,ORY,Transavia France,Transavia France,nonstop,,,nonstop,,,1,0,792,28/02/2025,Momondo,125,135
Paris,Rome,3,5,6:55,3/3/2025,9:00,16:50,8/3/2025,19:00,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,858,28/02/2025,Momondo,125,130
Paris,Rome,3,5,20:40,3/3/2025,22:45,16:50,8/3/2025,19:00,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,858,28/02/2025,Momondo,125,130
Paris,Rome,3,5,15:20,3/3/2025,17:25,6:00,8/3/2025,8:15,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,892,28/02/2025,Momondo,125,135
Paris,Rome,3,5,13:45,3/3/2025,15:50,12:50,8/3/2025,15:00,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,899,28/02/2025,Momondo,125,130
Paris,Rome,3,5,13:45,3/3/2025,15:50,18:45,8/3/2025,21:00,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,899,28/02/2025,Momondo,125,135
Paris,Rome,3,5,15:20,3/3/2025,17:25,10:05,8/3/2025,12:20,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,921,28/02/2025,Momondo,125,135
